"Actinobacteria","Alphaproteobacteria","Anaerolineae","Bacilli","Bacteroidia","Betaproteobacteria","Clostridia","Coriobacteriia","Cytophagia","Deinococci","Deltaproteobacteria","Epsilonproteobacteria","Flavobacteriia","Fusobacteriia","Gammaproteobacteria","Mollicutes","Synergistia","Verrucomicrobiae","Run","Blastocatellia","Chitinophagia","Erysipelotrichia","Negativicutes","Spirochaetia","Tissierellia","Acidimicrobiia","Ignavibacteria","Rubrobacteria","Sphingobacteriia","Hydrogenophilalia","Thermomicrobia","Acidobacteriia","Fibrobacteria","Gemmatimonadetes","Holophagae","Planctomycetia","Thermoleophilia","Elusimicrobia","Lentisphaeria","Oligoflexia","Ardenticatenia","Caldilineae","Kiritimatiellae","Limnochordia","Longimicrobia","Oligosphaeria","Saprospiria","Nitrospira","Solibacteres","Balneolia","Calditrichae","Dehalococcoidia","Chlamydiia","Opitutae","Ktedonobacteria","Acidithiobacillia","Deferribacteres","Endomicrobia","Methanobacteria","Armatimonadia","Fimbriimonadia","Phycisphaerae","Spartobacteria","Chthonomonadetes","Methanomicrobia","Malasseziomycetes","Rhodothermia","Chitinivibrionia","Chlorobia","Halobacteria","Methylacidiphilae","Nitriliruptoria","Nitrospinia","Thermotogae","Zetaproteobacteria","Candidatus_Peribacteria","Chloroflexia","Mammalia","Coprothermobacteria","Magnoliopsida","Thermoanaerobaculia","Thermoplasmata","Aconoidasida","Agaricomycetes","Aphelidea","Arachnida","Bigyra","Bivalvia","Chromadorea","Conoidasida","Dinophyceae","Elardia","Enoplea","Eurotiomycetes","Microbotryomycetes","Mucoromycetes","Polychaeta","Saccharomycetes","Sordariomycetes","Variosea","0319-6E2","4C0d-2","AB16","Acidobacteria-5","Acidobacteria-6","AHT28","BD1-5","Brachyspirae","BSV26","C0119","Chloracidobacteria","Chloroplast","DA052","Dehalococcoidetes","Erysipelotrichi","Gemm-1","Gitt-GS-136","Gloeobacterophycideae","GN05","iii1-8","JG37-AG-4","JL-ETNP-Z39","KSB1","Leptospirae","ML635J-21","Nostocophycideae","OP11-4","OP8_1","OPB41","OPB46","OPB56","OS-K","Oscillatoriophycideae","P2-11E","PRR-11","PRR-12","RB25","Rhodothermi","Saprospirae","SC3","SJA-28","SM1A07","Spirochaetes","Sva0725","Synechococcophycideae","TG3","TK17","TM1","TM7-1","TM7-3","vadinHA49","wb1-A12","Caldisericia","Thermodesulfobacteria","Thermoflexia","Actinopteri","Aquificae","Nitrososphaeria","Spiculogloeomycetes"
0,0,0,0,11,1,37,1,0,0,0,0,0,0,0,0,0,0,"ERR479554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12,0,33,1,0,0,0,0,0,0,0,0,0,0,"ERR479518",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13,0,36,0,0,0,1,0,0,2,0,0,0,0,"ERR479529",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,0,35,1,0,0,2,0,0,0,0,0,0,1,"ERR479452",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,1,34,0,0,0,0,0,0,0,0,0,0,0,"ERR479455",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15,0,35,2,0,0,0,0,0,0,0,1,0,0,"ERR479555",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16,0,65,0,0,0,0,0,0,0,1,1,0,0,"ERR479092",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16,2,41,0,0,0,0,0,0,0,0,0,0,0,"ERR479517",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17,0,35,0,0,0,0,0,0,0,6,0,0,1,"ERR479264",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,"ERR479516",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21,0,51,0,0,0,0,0,0,0,0,3,0,0,"ERR478977",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
